,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
0,5/2/2023 9:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,86,p2,32,1010,63,2.53,195
1,5/2/2023 9:16:01,TH-11,Bang Phli,Samut Prakan,Thailand,88,p2,32,1010,70,1.54,120
2,5/2/2023 9:16:32,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,92,p2,32,1011,69,1.54,120
3,5/2/2023 9:17:04,TH-13,Khlong Luang,Pathum Thani,Thailand,80,p2,32,1011,80,1.54,120
4,5/2/2023 9:17:36,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,128,p2,31,1010,57,2.8,189
5,5/2/2023 9:18:07,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,112,p2,31,1010,55,2.93,186
6,5/2/2023 9:18:39,TH-16,Ban Mi,Lop Buri,Thailand,95,p2,33,1010,52,3.2,189
7,5/2/2023 9:19:10,TH-20,Na Kluea,Chon Buri,Thailand,83,p2,32,1011,66,3.69,180
8,5/2/2023 9:19:42,TH-21,Ban Khai,Rayong,Thailand,51,p2,32,1011,75,2.7,177
9,5/2/2023 9:20:14,TH-50,Chiang Mai,Chiang Mai,Thailand,104,p2,30,987,56,2.57,160
10,5/2/2023 9:20:45,TH-52,Hang Chat,Lampang,Thailand,163,p2,33,1011,52,0.72,217
11,5/2/2023 10:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,86,p2,35,1010,49,3.02,193
12,5/2/2023 10:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,33,1011,66,1.54,0
13,5/2/2023 10:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,88,p2,34,1011,58,2.06,160
14,5/2/2023 10:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,76,p2,34,1011,75,2.06,160
15,5/2/2023 10:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,92,p2,32,1010,50,2.93,193
16,5/2/2023 10:18:03,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,117,p2,32,1010,48,3.43,182
